BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,18,34.7,10.9,4.4,12.6,35.4,0.4,1.9,20.0,1.6,2.6,61.7,1.3,3.9,5.2,3.7,1.8,1.4,0.3,2.9,1,0,-0.3
Home,11,35.2,11.9,4.7,11.9,39.7,0.6,2.4,26.9,1.8,3.1,58.8,1.0,4.1,5.1,3.5,2.3,1.7,0.3,3.2,1,0,0.9
Road,7,34.0,9.3,4.0,13.6,29.5,0.0,1.3,0.0,1.3,1.9,69.2,1.7,3.7,5.4,3.9,1.1,1.0,0.4,2.4,0,0,-2.3
Wins,4,34.4,12.3,5.3,12.8,41.2,0.5,2.3,22.2,1.3,2.8,45.5,1.8,4.8,6.5,4.0,2.0,1.8,0.5,2.3,1,0,13.3
Losses,14,34.8,10.5,4.2,12.5,33.7,0.4,1.9,19.2,1.7,2.6,66.7,1.1,3.7,4.9,3.6,1.8,1.4,0.3,3.1,0,0,-4.2
October,3,35.0,14.3,6.0,14.7,40.9,0.3,3.7,9.1,2.0,2.7,75.0,1.7,4.7,6.3,3.7,2.7,0.7,1.0,3.7,0,0,3.3
November,6,36.4,10.2,4.0,13.5,29.6,0.8,2.7,31.3,1.3,1.8,72.7,1.0,2.8,3.8,4.2,1.0,1.8,0.0,3.0,0,0,-1.5
December,9,33.6,10.2,4.2,11.2,37.6,0.1,0.9,12.5,1.7,3.1,53.6,1.3,4.4,5.8,3.3,2.1,1.4,0.3,2.6,1,0,-0.8
Pre All-Star,18,34.7,10.9,4.4,12.6,35.4,0.4,1.9,20.0,1.6,2.6,61.7,1.3,3.9,5.2,3.7,1.8,1.4,0.3,2.9,1,0,-0.3
Starters,15,36.3,11.4,4.7,13.7,34.5,0.4,2.2,18.2,1.5,2.2,69.7,1.3,4.3,5.6,4.0,1.7,1.3,0.3,2.9,1,0,-0.8
Bench,3,27.1,8.3,3.0,6.7,45.0,0.3,0.7,50.0,2.0,4.7,42.9,1.0,2.3,3.3,2.0,2.3,2.0,0.3,2.7,0,0,2.0
0 Days Rest,2,34.3,11.5,5.5,14.5,37.9,0.0,1.0,0.0,0.5,1.0,50.0,2.0,6.0,8.0,4.5,1.0,0.0,0.5,2.5,0,0,-8.5
1 Days Rest,10,35.9,11.5,4.6,12.5,36.8,0.4,1.9,21.1,1.9,3.3,57.6,1.3,4.1,5.4,3.6,2.2,1.4,0.2,3.1,1,0,0.5
2 Days Rest,3,36.1,11.3,4.3,14.0,31.0,1.0,3.0,33.3,1.7,2.0,83.3,1.0,2.7,3.7,3.3,1.0,2.7,0.0,2.7,0,0,-3.0
3 Days Rest,1,35.0,7.0,2.0,10.0,20.0,0.0,2.0,0.0,3.0,3.0,100,0.0,3.0,3.0,5.0,3.0,2.0,1.0,3.0,0,0,-8.0
4 Days Rest,1,34.0,15.0,7.0,15.0,46.7,0.0,2.0,0.0,1.0,1.0,100,3.0,5.0,8.0,4.0,2.0,1.0,2.0,4.0,0,0,15.0
6+ Days Rest,1,20.6,2.0,1.0,5.0,20.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0,0,8.0
