Features,Train,Test
5,0.879511663838,0.685543511296
6,0.881208682657,0.692027150238
7,0.881841898635,0.694255901125
8,0.882981687394,0.692229763955
9,0.884070818875,0.698004254888
10,0.884096147514,0.703272211529
11,0.88391884704,0.704082666397
12,0.881360654492,0.707020565292
13,0.881082039462,0.706817951575
14,0.881816569996,0.70985715733
15,0.882373800056,0.708236247594
16,0.882297814138,0.711072839631
17,0.881993870469,0.71117414649
18,0.882677743725,0.710262384763
19,0.883158987868,0.710363691622
20,0.882323142778,0.711478067065
21,0.882449785973,0.712997669942
22,0.882956358755,0.710262384763
23,0.882475114612,0.713706817952
24,0.882373800056,0.711579373924
25,0.882120513665,0.711781987641
26,0.882449785973,0.712389828791
27,0.882019199108,0.711680680782
28,0.882500443251,0.711781987641
29,0.882475114612,0.712288521933
30,0.882779058281,0.711781987641
